countries,2022-2023(Apr-Nov),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
CHAD,0.06,,,,,,,,,,0.0,,,,,,,,0.08,,,,,,,
CHINA P RP,0.11,0.31,0.89,0.98,0.79,0.1,0.02,11.65,12.66,28.19,13.06,3.3,2.84,0.85,0.09,0.01,0.02,0.0,0.0,0.0,0.0,0.0,,,,
COMOROS,0.0,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.01,,0.0,,,,
CONGO P REP,0.03,0.08,0.03,0.02,0.11,0.05,0.13,0.17,0.16,0.06,0.01,0.0,,0.02,0.09,0.23,0.03,0.05,0.03,0.02,0.04,0.0,,,0.01,
DJIBOUTI,0.0,0.03,,0.01,0.01,,0.01,0.05,,,,,,,,0.0,,0.0,0.01,,0.0,,,,,
ITALY,0.05,0.05,0.0,0.0,0.0,0.01,0.29,0.32,0.01,0.08,,,0.0,,0.0,0.07,0.0,,,0.01,,0.03,0.03,,0.03,
COTE D' IVOIRE,0.11,0.23,0.03,0.01,0.01,,0.04,0.0,0.04,,,0.02,0.04,,0.05,,0.12,0.01,,,,,,,,
JAPAN,,,,,0.02,0.0,0.0,0.0,,0.02,0.0,0.02,,0.03,,,0.01,0.0,,,0.01,,,,,
NETHERLAND,0.0,0.19,0.3,0.31,0.25,0.41,0.25,0.24,0.37,0.15,0.03,,0.0,,0.0,0.0,0.01,0.0,0.0,,0.01,0.0,,0.01,0.01,0.12
NEW ZEALAND,0.03,0.02,0.05,0.07,0.08,0.1,0.03,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.0,0.02,0.0,,0.0,0.0,0.0,,,,0.0,
NIGER,0.93,0.41,0.28,0.1,0.06,0.01,0.0,,0.03,,,,,,,,,0.03,,,,0.19,,,,
NIGERIA,2.4,2.42,1.39,1.46,0.88,1.43,0.93,0.1,0.1,0.03,0.03,0.02,0.0,0.19,1.79,1.67,0.12,0.0,,0.03,,0.22,0.12,,0.1,0.06
NORWAY,,0.01,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,
OMAN,0.4,0.28,0.45,0.18,0.1,0.08,0.05,0.04,0.04,0.01,0.56,0.21,,0.14,0.07,0.0,0.04,0.0,0.0,0.01,0.01,0.0,0.0,,0.0,0.01
PANAMA REPUBLIC,,0.04,0.03,0.02,0.04,0.02,,,,,0.03,,,,,,,,,,,0.01,,,,
PAPUA N GNA,,0.0,,,,,,0.01,,,,,,,,0.04,0.06,,,,,,,,,
PARAGUAY,0.02,,0.07,,0.04,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,5.15,5.28,5.08,7.23,8.22,4.17,4.41,3.98,2.82,0.92,,0.07,0.62,0.37,,0.0,0.0,0.0,,,0.01,0.0,,,,
POLAND,0.0,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,0.02,,,,
TIMOR LESTE,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
QATAR,0.66,0.91,0.66,0.8,1.04,0.86,0.02,0.01,0.01,0.04,0.42,0.28,0.02,0.03,0.12,0.01,0.02,0.01,0.04,0.02,0.0,,0.02,0.03,,0.0
REUNION,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,
RUSSIA,0.01,0.06,0.05,0.04,0.04,0.03,0.04,0.04,0.05,,,,,0.05,,,0.02,,0.02,,,,,,,0.0
RWANDA,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
SAUDI ARAB,4.27,9.9,7.72,9.13,9.63,7.58,10.34,11.17,6.48,2.09,2.86,1.26,0.04,0.05,0.08,0.06,0.13,0.17,0.15,0.07,0.04,0.0,0.05,0.03,0.02,0.0
SENEGAL,0.65,0.77,0.5,0.46,0.58,0.61,0.16,,0.01,,,,,0.06,0.28,0.55,1.04,0.23,,,0.01,,0.0,,,0.0
